query id,document id
10,8789ibcp dhszlrmo vsinwqnr 4pijm4fy x1gces56 bwiyp73e qmg3hmro e52wuc0h 4bltio08 sy4kiirg jkjyh4cs 6u623i0w 3xb4lumz 5jpvjl46 lz775vn5 d9f3tsk6 o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 qjr276pv juom2bzb x4yymqby xd7nuahh b04lq3b2 b1y9yvsv zdv0ilti 95fty9yi 4523cwwi 0rbgbsj8 8pyj4pou y27aa1b6 h83aed9u 1ixylnny v4t6ca0c wjdeps3h hrbeh0me 5xki1ulf 8a49f9hl 05vx82oo 1c7q9m06 95sck64d vi51uons jdfsacds eqko1gue 61d7d530 1mpzjgk1 3n7f5c0t 9in8l1f7
11,dhszlrmo q03884i9 dcx6cv2q zrx8l9d7 x1gces56 bwiyp73e 4qrssc82 mbdj3r0m u1c20tb3 bpu3hpbn 64igat2s r044iimd scyndvq8 9hrrkqgi jkjyh4cs 6u623i0w 3xb4lumz sy4kiirg rr7r7ef0 ezz0fcbb qp13h0un venpta28 gdsh8wmv 346lwjr8 nbn42eo0 o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 e2p46wa8 n0vmb946 zec7hphk 2g6jxi5k 47goscew 8b9hbpzs jat60k8t 7htcicqg u8goc7io jnz5by5w rr36a3my obehsz2z zdv0ilti nf2vd6o1 ckay4ufw hqi3w2a1 qejmwvst 0rbgbsj8 rfni76sv e350kj7m
12,6u623i0w zdv0ilti 5gnbrnt4 dhszlrmo ztcyvsoi s19pa1z1 9tgnx7du x1gces56 bwiyp73e befehafo od97az43 7x77e4m5 jkjyh4cs 3xb4lumz 5jk3u9b8 lm2ixz8n 49dkucxd ywia2ok7 3wdquuzy fj8nhgyl ieobv7q8 a89300pd r66eulqj o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 royt8bo6 z6fd4yua w9hq4kj0 28lmzw9u eylpfrj3 7d7i3cc8 3wbn42j3 xxxdjfbc riar0t5w b1y9yvsv 010vptx3 0rbgbsj8 yti2nukb 3oz6l9ne 50jgbtnr xtmozkf6 wtmjt3hf 8g8xpazu cf39dhpo 40nykp4m 4ah705nc zpaqd5vd
13,v5egtgdo d91t5o01 av8ww9fd bnh65bqg f0ny4ur5 2wc1bxi1 3ruxk6u2 mz5gdb59 xgp2vx6o 8m7n5r85 414grqif oen0ycsr dhszlrmo 7kovd82v dqkjofw2 a95hh4yk 4nd5wzrm px0twvhs 8yi1mpri nu98xedb gmpsniqt k4f79dr4 cywjp5jh 82d0s6po x1gces56 bwiyp73e 5jccb3nh c1a957ef 7gd3hjc3 qofpdu1l etnf4i8v z2q063sa uicvudil ixpt6jnr jkjyh4cs 6u623i0w 3xb4lumz bjx5td52 sqxlnk9e vid6m563 pbddwyyi fx9ibkuf wu1ygt6w ys51rshu o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 gtajz6jr
14,dhszlrmo 901z3uc0 4od8qt36 f5ewl2vc x1gces56 bwiyp73e lvjveaob wtmjt3hf huesjfq6 75u57fw1 jkjyh4cs 6u623i0w 3xb4lumz 7jfy66ve 1vehi4w4 r4argyel zg17f7bd o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 bbg11u3w dkncpt8g jat60k8t xc8hafhc u8goc7io 4eh1v832 1k9r1n9a sr03hr3m 285ud8gh zdv0ilti 4g85h6ta k9fuegol ntf6pneq 69nnyq8p uqgrjjwp j0ufth5d 0ikkl3hk 4wui5ejv 0rbgbsj8 ti9b1etu b3u9oz6c y2nhss9u ecu579el axljtddn kgzegwon uo839gvc t159ctrv j1yqn9xg
15,bbtaxlpn dhszlrmo fpckqvr5 x1gces56 bwiyp73e h9gj814e xrgnt6l5 k2uydo6j aa2h3bqy x1qr2cc2 50gce6f1 w375nabi 8qauo907 jkjyh4cs 6u623i0w 3xb4lumz a1c2zppi flc25wlz 1ktj39cc 7mzu8xpr 8n2s0bl1 80ev0j5a 6lsvjfqb 50jgbtnr khpc9f98 o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 q5egb5nz rppsmirp 4s71mh8j bs7vh557 39tg92sa zxn7psir 6kkqoh7f jqlrgv47 80ftam6h wiruhhyz wtmjt3hf zdv0ilti xqxznv1r do5zadco 3z1jdiwo ecu1repo qfnu319w 0rbgbsj8 r7ez09va twf6g5t3
16,fk2wc715 5a8yb708 dhszlrmo d82sj80v kptkmgdm jtx7ni9b rogv6xtv y4yil922 rpwccvqi x1gces56 bwiyp73e 1a0fj900 wmpjfc02 gc32tz2x zdfx3zo3 61fmul8c b518n9dx sbryreho 8nl1gywe igoz2ei4 g7w2vywe 60qw00zc ceab6yjj 2t3g8ve8 ce8hrh5e mvsnybbo hbfby8vr x00c3eex vxqdfiel jkjyh4cs 6u623i0w 3xb4lumz 3jnszsrg h3mdrikn 01es0zv4 l39na6s8 20hk99h4 nng1ct8p g0iwfpkg iwsa760n 3bifzves jlqee1b8 7e8zlt3t uyze6dtu f3lv7o4d uajl5wyk vltw590b fj7roabz qe56u93a l8vkzbh0
17,me04brw1 w2c01295 dhszlrmo wzmfmcpt z86g8dzs z68tl88x q5egb5nz hq0owf31 r66eulqj x1gces56 bwiyp73e 573godis 51thatw6 1ok0k174 befehafo c78vokcc lwt83ts2 9nrucfw1 ahhrs3sy i6hut28h 2mjs1p7t 05vx82oo umvrwgaw 1q8tqeg7 btj4ckkz jkjyh4cs 6u623i0w 3xb4lumz j69s6rei 14x4uqq7 v3cgj0vd 28utunid oid5bok9 iinq30l8 sqr11fpv b1y9yvsv 2ikxxaec mfb2or98 tev33cjh i8w88cb0 9jnixy2b 480bzpi1 gy1rwgop zghq7mcg o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 im1fs69k
18,mcmazu1v 08dk0ur6 c5l2r3kj dhszlrmo gjy7ydqu d6v5mkj7 gt2g1but x1gces56 bwiyp73e jd764wk4 br0oxhc3 vzqrxj2w zhauwxye qcwvsxgn wgsl0wem cza4qsv5 skaom5z7 jkjyh4cs 6u623i0w 3xb4lumz gtmpd7t0 sxsrz60h a5ni1s9e zgd60laj ycrrsr5c v82oezkq pgsykrqx mf0k7h27 47ema2dq 8o1pv9jj o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 dm1wkpnv g37hlv19 yr1dq258 uofygmeu 8125y15e 31srtult z59ae5d6 qlm83r6n kpcb2vy4 on0dyqg7 zul5kz62 zdv0ilti cmaaa5j6 gsgntf4c i03fyaz8
19,gic43uwz g0dudzi2 zutavvrf hui5jaiu 6xlb7bfa fm01bijc 60wcvkbn dhszlrmo 35j928mf dkxhbmic 3446eyi3 8n4dlkjo a9sj00y8 7ibc0yvr ijbrhsl7 9q1mawfs y8o6x4b3 dq2empne w6gmscv4 3egv50vb 7tg62meg 6vcts4w3 gf8xn7my lhqiada4 6cxndab8 x1gces56 bwiyp73e rq94lma3 a0asoy8j 5n7hxhbg hynkb0a8 59pnm4fn hext9jv8 x1kankxd 4p7gboaq 1fp4ck88 tkpkc6rz kyoa5gsf qhld3bbh 6ph3ykfc r8fmq65g t4w4pw12 tphkjqii 2eqrk42b jkjyh4cs 6u623i0w 3xb4lumz x8xntne7 dv405298 fqzczofm
20,dhszlrmo x1gces56 bwiyp73e cqesmvk9 jkjyh4cs 6u623i0w 3xb4lumz o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 fvkr77sf 6gljl7n5 zdv0ilti 370fqkat 0rbgbsj8 ta1i0ata wtmjt3hf zpaqd5vd 8guapzke kv5zcpf9 hrbeh0me 5xki1ulf efk2jj50 cxy1p3g8 2r4uty9g vi51uons e2epus6x rogv6xtv bl5d4xkc 30fi614e 1mpzjgk1 zkz8e1vd a8vwwpas ajbypz7g 0agldesf idd8uq9h z8n220wv fuqtwn5a 7wirya95 1sbj2wzd 2mcwhg21 n92atcrx 1x2urcj9 na3ccs16 j5p5mtiq nnlynjoy 4591ewsa uatnaro4
21,5qa2z9jj dhszlrmo tzuyo6tx x1gces56 bwiyp73e at8ad5mo q5zabro0 qzv030tr 54vyzxjf t9f080f5 jkjyh4cs 6u623i0w 3xb4lumz 8p311gkk eylpfrj3 so5zqcph x5t90x56 uh8r2vyz o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 6lngz7y1 mahp1wkn ytwfgs20 h41vu6vu zdv0ilti 01es0zv4 6p9btua0 e6itic6z 0rbgbsj8 aclm6q9m qg44ymyt pvb5c4ih jdy0os21 jyc1e5yh 8o884nyp 9l146gvr rxuq3ux8 yhynqeo1 hr70o8r6 n7says5m 19zh9evl x1v4jpl4 hrbeh0me 5xki1ulf 7x1mqqmf 1qhferax wk2jynv1
22,dhszlrmo njkh20sv puu8wib8 x1gces56 bwiyp73e osaycpe8 qctii42h bwkad2s0 jkjyh4cs 6u623i0w 3xb4lumz b5fcrapo xwaycskl o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 az2t6jjx 2sdqehyw tz3hqv5g ljicdm13 4t6x32cz zdv0ilti y4h95kb4 3p5eoezs 0rbgbsj8 8ek694p3 uzexzc5e mnkwjplb v662o7a8 60wcvkbn 3rpbltd4 mx4t6s6n 13akn7dm hrbeh0me 5xki1ulf f372jh4t h0h6cri8 61cwycg6 159p181f k1zbw41f 8n4dlkjo lujxql3a o1evnvw6 qd3disy2 1mpzjgk1 llzfc1r7 zkz8e1vd a8vwwpas
23,dhszlrmo p5orjg14 118x15od bs8p50ig njkh20sv x1gces56 bwiyp73e puu8wib8 u4di2tk7 3meiks6o jmzz8wxu jkjyh4cs 6u623i0w 3xb4lumz b2sse5e5 vs32no7a gf8xn7my 6wt6wzxv 89ovdnxl zrq3a1oi otqjnh2s o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 0wfsr4iw uxqj5jw1 bevg0mdx iqrxerqt lmrr4hde v7uwpcb1 zdv0ilti n52mmprb d624q452 ljicdm13 b6yfgc8t 0rbgbsj8 y0svo5ka 07hj0vkb stmo4b0g 76xvzvdg 61t4e1eg 5ttmy2nj 3bj567gr na2zbx8g 9309aig5 hrbeh0me 5xki1ulf b4ay5vyp
24,dhszlrmo x1gces56 bwiyp73e nyyrtget biu5zxd1 jkjyh4cs 6u623i0w 3xb4lumz 3d0tmydv o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 hyoyjpbd 1frc4zya fse9npzf 8cixsjrf q0hqbka3 zdv0ilti npf7c436 0rbgbsj8 hyk93ons jdnue7br nxm1jr0x phq1g2mm i3ydg93k hrbeh0me 5xki1ulf r8mn4lzv le1mc045 3yu2di1g 4rj30h98 i6bs536s gj4vjldd 1qv8l925 94pvs340 mu5a5bh8 1lnknzwa 1mpzjgk1 9ij6cned 8comwpr5 3egv50vb zkz8e1vd a8vwwpas ajbypz7g fp0d03ze btwx2vxo gse1k0wh 18jiikdq
25,dhszlrmo x1gces56 bwiyp73e h83aed9u btp9dldg aqsfi30i k7q5evtj qjr276pv imv0sc9y 6y21p3n6 vww8ypyz c0eojsvd jkjyh4cs 6u623i0w 3xb4lumz jat60k8t fj8nhgyl hv0cwf6d jxqidbr2 3087o3g0 qtdl384t jai0xbwr 4gaa14ly plxz5mkg 9pz3phtd jh04b55m c95lntyp 4u3bmb0e o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 zlzuoeh2 svgguadm j40zj4al itb9vh8z 04zbbyii wmfcwqfw wap7lo05 9g4om4sf 6vmfa6qx 13akn7dm c54ti9zv e2wevpi6 zdv0ilti 6o4scan1 639isohk 1aqtqaod ov841v5b
26,nlzdto1h dhszlrmo x1gces56 bwiyp73e qwngx01h d7m0s10o wivzfv6t hv0cwf6d tpltmho1 pvb5c4ih jdy0os21 tiz12unx xwvtjm6s jkjyh4cs 6u623i0w 3xb4lumz d0fonyex pxfwe67t wxvy01cg fjnhoai4 90tccg03 54260tth 1tq4z3uw bmsmegbs atnz63pk 1ew0p6x7 5wpq72vy xcu80tcp e8mj6ecl zbzrxuoh vde6vm2a o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 pth2d40p 6qsk6mij 7xb7hj9u wl0wlxh6 h1afpc9x nadzy6lm r2os3kn9 zdv0ilti hd4qul4t 4wlkftda 50zrnau8 dqc3qsw0 0rbgbsj8 7lwh917j
27,njq5pc58 dhszlrmo ulkty104 9jnixy2b tkqmu1va fxqseibh 0lk8eujq qe56u93a wmpjfc02 x1gces56 bwiyp73e fhy2z49t 60qw00zc sdij1d90 tdlcb9bf vvexfg1c 01es0zv4 zhfrgaxf 4ifdy2eh jkjyh4cs 6u623i0w 3xb4lumz gkes9a16 w1au4pyl 3egv50vb ikr6eeov rqeultbq bzt6jsyi cpq3fyzn n47jui5f 2hbcbvt6 jk62qn0z 5o9bbspc 0ux66xsj o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 gpofwyux fckn8ld4 b0aaozmn jai0xbwr 1q39v843 of8met66 ujomta30 zdv0ilti lhqiada4 0rbgbsj8 2f6nj4to
28,9jnixy2b r4snyxr9 spqoikin ju35nyir bbtaxlpn qe56u93a 7jhjlxtf j5nmifhj dhszlrmo bqemz1eu sbf9qi6g r88zb7t4 4h73lukj 0b77duc8 3hgmuyn4 m0q7rm6z e357zmsj zult69f2 4yuw7jo3 b4u63jgo c0r2nbzo 7cjm2yp0 sywk7014 b4mdiont pvfk33i8 p5ceve0x vxqdfiel b0aaozmn bisheysk 1b3x7p6u 6mw8okmt x1gces56 bwiyp73e vnn7lp8w b36wi464 fhmr1og4 3rblzyry mmkrwj8t 0b0fvnhn j6ateco7 r5p5helx ei3kkp30 75zgljet zb434ve3 1ga7c591 j9vmsfjw ij34t1ae icyut3xa 3zy5dgxz 6rr4bjbr
29,fxi8ss2s zdfx3zo3 tpp40j0g dhszlrmo b518n9dx x50tvq3a 7e8zlt3t x1gces56 bwiyp73e 01es0zv4 p6uliadr xw8o189s nz8qvuw6 jkjyh4cs 6u623i0w 3xb4lumz gqqdx2r5 bpou9p89 46zui1sl b0aaozmn gpr86lxe bzeqs5oh rl3801n6 rw7shrbs o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 2jei05lk aosmo568 393k3lq6 uc3slu8q bw9lbzvt o1ff4hex 7v7pzclb pgxew3yk khxdk8t8 juz9jnfk zdv0ilti qpa6tk6v 7fdcu2f0 fybbnn46 0rbgbsj8 679qfp2s n0mz098o vxqdfiel yzrni12u zv0ysi8m hrbeh0me
30,yp4o3crk 0ln9r2nq dhszlrmo x1gces56 bwiyp73e bltjbxr0 2rhcz41w 1pxacoi4 dmtb3icf 9fngwsh3 h180nsed q9t6yv6r jkjyh4cs 6u623i0w 3xb4lumz nlzdto1h d5vigcai 46qcxs4j mg2zikyp dtv7to3l 8vxqr3mc jqjtbkda o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 0ybn2igj 69nnyq8p pqvlh3eg ugc7ce21 eruilkrq zdv0ilti c813ttt2 t0znjpx9 ktet18wl 0rbgbsj8 m1j6v33y lkxfflq0 imyvmgdk uqhiyj56 zkudc8ww zw6qf621 rsifxvtj k9qiwy1b ekal5251 sgq4zr72 ziujiigl f526k9q1 7lu6c91t
31,dhszlrmo x1gces56 bwiyp73e hsmfd4vd d25dph83 jkjyh4cs 6u623i0w 3xb4lumz o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 kzs8rbmp pfamlz3g 3lgjo8e8 zdv0ilti bf1eok3s ez731lif 0rbgbsj8 vvo8a4hp k1wd7ymj 2okcuviq u6ewlh16 auwm2qj0 hrbeh0me 5xki1ulf z122v1uz newf1dqx kcyao9i9 exf1mh36 1mpzjgk1 9sk11214 zkz8e1vd a8vwwpas rqzdkyas ajbypz7g gdpiaxbr 14gcu1se cp6he5mc 0bma2749 wci56l0c bu8vq65n tcz01unx gchn4j9x fuqtwn5a 7wirya95 1sbj2wzd bujydnde rvyeb4c6
32,o6rwqnu2 dhszlrmo 4vkag60z 81wv1s33 bb5dnbbt 2o8u4eny app590vw zpi7uis1 x1gces56 bwiyp73e 65iwx5nv w9rqnz9h itrv27tm hmeg2t9m 68sbqdi3 z5q82rmp t0d8wtvp spkg3hbv vbibyj32 ogb83fgc qfe780yj wfaqim7d dkqxfqk6 ljlo42ry 30f8kmx7 c7bmrjzi 4cia91cq tm8fzbue vevsgkp6 oc0edgd2 1xf2sxtv xv0esvos 4vx7ez7s kv9n2qj3 ltyqrg81 ivmpbuwf 0pmsfrcx 0t4uxmj2 sp87qdkr jkjyh4cs 6u623i0w 3xb4lumz 0fx1b7ph 1n69h3i3 oxybanjl fma8wq4z 6o2upns3 qhsgt1s8 4vl0cvyq a8pixbuc
33,dhszlrmo gd5btv69 x1gces56 bwiyp73e 0is1vyhy jkjyh4cs 6u623i0w 3xb4lumz i9uhpu34 o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 qeqq3kwb 6g34qwer 7kwkla73 zdv0ilti eujbxdqi 0rbgbsj8 xbzl4q24 orko04fi qohf9pxp 4989atst ckay4ufw ln8ddyuj wovftw3l fkfltedm wh9vvgv2 gdxvbspx k1hx1m61 3s2g3o81 hrbeh0me 5xki1ulf q9za0pj2 jarnavwl yq7ie643 b6ajrj1m tylkbh4h z0rtdgn8 gspip4kh vs1ml7nj 1mpzjgk1 u4di2tk7 t0kdd34r 7v4jyzl3 zkz8e1vd a8vwwpas ldeiqbgi ocy6159b
34,dhszlrmo 4j3fdjlg ztcyvsoi z0m6uuzf x1gces56 bwiyp73e notsmoi2 jkjyh4cs 6u623i0w 3xb4lumz qwngx01h st5idleq o3b2yvbs 6uaj8fb7 vsl94lhz keaxietu 3pqtmhob ds0cf78u 5imbomop n3gamnfv umqowine oid5bok9 o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 nwwhk6p0 tvmytgda 66rygtoa sdk0w6vf z0bkpmpk s5w8rf6t j40zj4al ey4ziomv k31dagdy a564l6vs ltofq3pp c9niqu56 05zmldvj s17vz7vf shauvo3j wulg3bbb zrx8l9d7 rwgv0973 6lngz7y1 zdv0ilti o3sl2fbf 0rbgbsj8 iwn39b5h
