query id,document id
10,8789ibcp dhszlrmo 4pijm4fy vsinwqnr qmg3hmro x1gces56 bwiyp73e e52wuc0h 4bltio08 sy4kiirg 5jpvjl46 jkjyh4cs 6u623i0w 3xb4lumz lz775vn5 d9f3tsk6 x4yymqby qjr276pv o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 juom2bzb b04lq3b2 xd7nuahh 95fty9yi 4523cwwi b1y9yvsv zdv0ilti 8pyj4pou wjdeps3h 0rbgbsj8 y27aa1b6 h83aed9u 1ixylnny v4t6ca0c 8a49f9hl 95sck64d 1c7q9m06 05vx82oo vi51uons jdfsacds hrbeh0me 5xki1ulf nvy1pzak eqko1gue 3n7f5c0t 9in8l1f7 61d7d530
11,dhszlrmo q03884i9 dcx6cv2q zrx8l9d7 4qrssc82 mbdj3r0m u1c20tb3 x1gces56 bwiyp73e bpu3hpbn 64igat2s r044iimd scyndvq8 9hrrkqgi sy4kiirg rr7r7ef0 ezz0fcbb jkjyh4cs 6u623i0w 3xb4lumz qp13h0un venpta28 gdsh8wmv 346lwjr8 nbn42eo0 e2p46wa8 n0vmb946 2g6jxi5k 47goscew 8b9hbpzs zec7hphk 7htcicqg o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 jat60k8t rr36a3my obehsz2z jnz5by5w u8goc7io hqi3w2a1 nf2vd6o1 qejmwvst e350kj7m vf88r8la ckay4ufw px0twvhs 8znpqcth
12,6u623i0w zdv0ilti 5gnbrnt4 dhszlrmo ztcyvsoi s19pa1z1 9tgnx7du x1gces56 bwiyp73e befehafo od97az43 7x77e4m5 5jk3u9b8 lm2ixz8n 49dkucxd jkjyh4cs 3xb4lumz ywia2ok7 3wdquuzy ieobv7q8 a89300pd fj8nhgyl r66eulqj 28lmzw9u royt8bo6 z6fd4yua w9hq4kj0 o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 eylpfrj3 3wbn42j3 7d7i3cc8 xxxdjfbc riar0t5w b1y9yvsv 010vptx3 yti2nukb 3oz6l9ne 50jgbtnr xtmozkf6 wtmjt3hf 0rbgbsj8 8g8xpazu cf39dhpo 40nykp4m 4ah705nc 2qmlg9qn
13,v5egtgdo d91t5o01 av8ww9fd bnh65bqg f0ny4ur5 2wc1bxi1 3ruxk6u2 mz5gdb59 8m7n5r85 xgp2vx6o 414grqif oen0ycsr 7kovd82v dqkjofw2 a95hh4yk px0twvhs 4nd5wzrm dhszlrmo 8yi1mpri nu98xedb gmpsniqt cywjp5jh k4f79dr4 82d0s6po c1a957ef 5jccb3nh 7gd3hjc3 qofpdu1l etnf4i8v z2q063sa x1gces56 bwiyp73e uicvudil ixpt6jnr bjx5td52 vid6m563 pbddwyyi sqxlnk9e jkjyh4cs 6u623i0w 3xb4lumz fx9ibkuf ys51rshu wu1ygt6w gtajz6jr 6g1qxz9i etl9uwt7 5iv0hwca o4njvi62 gs7j6fxo
14,dhszlrmo 901z3uc0 4od8qt36 f5ewl2vc lvjveaob x1gces56 bwiyp73e wtmjt3hf huesjfq6 75u57fw1 7jfy66ve jkjyh4cs 6u623i0w 3xb4lumz 1vehi4w4 zg17f7bd r4argyel bbg11u3w dkncpt8g xc8hafhc jat60k8t 1k9r1n9a o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 u8goc7io 4eh1v832 4g85h6ta sr03hr3m 69nnyq8p 285ud8gh j0ufth5d k9fuegol 0ikkl3hk ntf6pneq y2nhss9u uqgrjjwp ti9b1etu b3u9oz6c 4wui5ejv uo839gvc ecu579el axljtddn kgzegwon zdv0ilti t159ctrv 6r5c2x0f atsuh8e2
15,bbtaxlpn dhszlrmo fpckqvr5 h9gj814e k2uydo6j x1gces56 bwiyp73e xrgnt6l5 aa2h3bqy x1qr2cc2 50gce6f1 w375nabi 8qauo907 a1c2zppi jkjyh4cs 6u623i0w 3xb4lumz flc25wlz 1ktj39cc 7mzu8xpr 8n2s0bl1 6lsvjfqb 80ev0j5a khpc9f98 rppsmirp 50jgbtnr 4s71mh8j q5egb5nz 39tg92sa 6kkqoh7f zxn7psir 80ftam6h bs7vh557 jqlrgv47 o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 wiruhhyz do5zadco ecu1repo xqxznv1r wtmjt3hf 3z1jdiwo qfnu319w twf6g5t3 r7ez09va 22eam8yw erl8jftp
16,fk2wc715 5a8yb708 dhszlrmo d82sj80v kptkmgdm jtx7ni9b y4yil922 rpwccvqi rogv6xtv 1a0fj900 gc32tz2x x1gces56 bwiyp73e wmpjfc02 zdfx3zo3 sbryreho 61fmul8c igoz2ei4 b518n9dx g7w2vywe ceab6yjj 60qw00zc 2t3g8ve8 ce8hrh5e 8nl1gywe x00c3eex hbfby8vr mvsnybbo vxqdfiel nng1ct8p h3mdrikn 3jnszsrg 20hk99h4 g0iwfpkg 01es0zv4 3bifzves l39na6s8 iwsa760n jkjyh4cs 6u623i0w 3xb4lumz jlqee1b8 f3lv7o4d uyze6dtu 7e8zlt3t l8vkzbh0 uajl5wyk vltw590b fj7roabz o8383rfh
17,me04brw1 w2c01295 wzmfmcpt dhszlrmo z86g8dzs z68tl88x hq0owf31 q5egb5nz 573godis r66eulqj 1ok0k174 51thatw6 lwt83ts2 9nrucfw1 x1gces56 bwiyp73e c78vokcc ahhrs3sy i6hut28h befehafo 2mjs1p7t umvrwgaw 05vx82oo btj4ckkz 1q8tqeg7 14x4uqq7 28utunid v3cgj0vd j69s6rei oid5bok9 sqr11fpv iinq30l8 jkjyh4cs 6u623i0w 3xb4lumz 2ikxxaec mfb2or98 tev33cjh 480bzpi1 gy1rwgop i8w88cb0 b1y9yvsv zghq7mcg 9jnixy2b 2841vq8w ropgq7tr tq9kjozt 3nl3js2x tvlezcs8 4sitkqkm
18,mcmazu1v 08dk0ur6 c5l2r3kj gjy7ydqu dhszlrmo d6v5mkj7 gt2g1but jd764wk4 br0oxhc3 vzqrxj2w zhauwxye x1gces56 bwiyp73e wgsl0wem qcwvsxgn cza4qsv5 skaom5z7 gtmpd7t0 sxsrz60h a5ni1s9e jkjyh4cs 6u623i0w 3xb4lumz zgd60laj v82oezkq pgsykrqx 47ema2dq 8o1pv9jj ycrrsr5c mf0k7h27 g37hlv19 uofygmeu dm1wkpnv 8125y15e yr1dq258 31srtult z59ae5d6 qlm83r6n kpcb2vy4 zul5kz62 o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 on0dyqg7 cmaaa5j6 gsgntf4c i03fyaz8 4y4596pa
19,gic43uwz g0dudzi2 zutavvrf hui5jaiu 6xlb7bfa fm01bijc 60wcvkbn dkxhbmic 35j928mf dhszlrmo 3446eyi3 a9sj00y8 8n4dlkjo 7ibc0yvr ijbrhsl7 9q1mawfs y8o6x4b3 dq2empne w6gmscv4 3egv50vb 7tg62meg 6vcts4w3 gf8xn7my 6cxndab8 lhqiada4 rq94lma3 5n7hxhbg a0asoy8j hynkb0a8 59pnm4fn hext9jv8 x1gces56 bwiyp73e x1kankxd 4p7gboaq 1fp4ck88 tkpkc6rz r8fmq65g 6ph3ykfc kyoa5gsf qhld3bbh tphkjqii t4w4pw12 2eqrk42b fqzczofm dv405298 h11bcb1e k2crv9qb x8xntne7 dr1c9ttb
20,dhszlrmo x1gces56 bwiyp73e cqesmvk9 jkjyh4cs 6u623i0w 3xb4lumz o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 fvkr77sf 6gljl7n5 ta1i0ata 370fqkat zdv0ilti wtmjt3hf 0rbgbsj8 8guapzke zpaqd5vd kv5zcpf9 2r4uty9g efk2jj50 cxy1p3g8 vi51uons hrbeh0me 5xki1ulf bl5d4xkc e2epus6x rogv6xtv 30fi614e z8n220wv 0agldesf idd8uq9h 1mpzjgk1 zkz8e1vd a8vwwpas ajbypz7g 1x2urcj9 j5p5mtiq nnlynjoy 2mcwhg21 n92atcrx fiptvdat na3ccs16 4591ewsa uatnaro4 fuqtwn5a 7wirya95
21,5qa2z9jj dhszlrmo tzuyo6tx at8ad5mo x1gces56 bwiyp73e q5zabro0 qzv030tr 54vyzxjf t9f080f5 so5zqcph 8p311gkk jkjyh4cs 6u623i0w 3xb4lumz eylpfrj3 x5t90x56 uh8r2vyz mahp1wkn o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 6lngz7y1 6p9btua0 h41vu6vu e6itic6z 01es0zv4 ytwfgs20 qg44ymyt aclm6q9m zdv0ilti jyc1e5yh 9l146gvr 8o884nyp pvb5c4ih jdy0os21 0rbgbsj8 19zh9evl x1v4jpl4 yhynqeo1 n7says5m hr70o8r6 rxuq3ux8 wk2jynv1 bf0pcjap 1qhferax 7x1mqqmf vq75xdnf
22,dhszlrmo njkh20sv puu8wib8 osaycpe8 x1gces56 bwiyp73e qctii42h bwkad2s0 b5fcrapo jkjyh4cs 6u623i0w 3xb4lumz xwaycskl az2t6jjx 2sdqehyw tz3hqv5g ljicdm13 o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 4t6x32cz y4h95kb4 3p5eoezs 8ek694p3 mnkwjplb uzexzc5e zdv0ilti v662o7a8 60wcvkbn 3rpbltd4 0rbgbsj8 mx4t6s6n 13akn7dm h0h6cri8 61cwycg6 f372jh4t 159p181f k1zbw41f lujxql3a qd3disy2 hrbeh0me 5xki1ulf 8n4dlkjo 5efzormt o1evnvw6 llzfc1r7 u6uqroi0 ps5zac1t
23,dhszlrmo p5orjg14 118x15od bs8p50ig njkh20sv puu8wib8 x1gces56 bwiyp73e u4di2tk7 3meiks6o b2sse5e5 jmzz8wxu vs32no7a gf8xn7my jkjyh4cs 6u623i0w 3xb4lumz 6wt6wzxv 89ovdnxl otqjnh2s zrq3a1oi 0wfsr4iw uxqj5jw1 bevg0mdx iqrxerqt v7uwpcb1 lmrr4hde o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 n52mmprb d624q452 ljicdm13 y0svo5ka 07hj0vkb 76xvzvdg b6yfgc8t stmo4b0g zdv0ilti 61t4e1eg 5ttmy2nj 3bj567gr 0rbgbsj8 na2zbx8g 60wcvkbn 9309aig5 b4ay5vyp l8bj9twb
24,dhszlrmo nyyrtget x1gces56 bwiyp73e biu5zxd1 3d0tmydv jkjyh4cs 6u623i0w 3xb4lumz hyoyjpbd fse9npzf 8cixsjrf 1frc4zya q0hqbka3 o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 npf7c436 jdnue7br hyk93ons nxm1jr0x phq1g2mm zdv0ilti 0rbgbsj8 i3ydg93k r8mn4lzv le1mc045 3yu2di1g i6bs536s gj4vjldd 1qv8l925 94pvs340 4rj30h98 mu5a5bh8 1lnknzwa hrbeh0me 5xki1ulf 8comwpr5 9ij6cned fp0d03ze 3egv50vb gse1k0wh 18jiikdq 761ymmaf 0jgnrl8t on33byyr btwx2vxo 0n5apnle
25,dhszlrmo x1gces56 bwiyp73e h83aed9u aqsfi30i btp9dldg k7q5evtj 6y21p3n6 qjr276pv c0eojsvd imv0sc9y vww8ypyz jat60k8t jxqidbr2 fj8nhgyl hv0cwf6d jkjyh4cs 6u623i0w 3xb4lumz 3087o3g0 qtdl384t 4gaa14ly jai0xbwr plxz5mkg 9pz3phtd c95lntyp jh04b55m 4u3bmb0e zlzuoeh2 svgguadm 04zbbyii j40zj4al itb9vh8z o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 wap7lo05 wmfcwqfw 9g4om4sf 6vmfa6qx c54ti9zv 639isohk 13akn7dm 6o4scan1 e2wevpi6 teywszlm 0g0datwo 1aqtqaod
26,nlzdto1h dhszlrmo x1gces56 bwiyp73e qwngx01h d7m0s10o wivzfv6t hv0cwf6d tpltmho1 tiz12unx pvb5c4ih jdy0os21 xwvtjm6s d0fonyex pxfwe67t wxvy01cg fjnhoai4 jkjyh4cs 6u623i0w 3xb4lumz 90tccg03 atnz63pk bmsmegbs 1tq4z3uw 54260tth xcu80tcp 1ew0p6x7 zbzrxuoh 5wpq72vy e8mj6ecl vde6vm2a 6qsk6mij pth2d40p h1afpc9x 7xb7hj9u wl0wlxh6 nadzy6lm o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 r2os3kn9 hd4qul4t 50zrnau8 4wlkftda dqc3qsw0 7lwh917j ujh2nmh5 zdv0ilti
27,njq5pc58 ulkty104 dhszlrmo 9jnixy2b tkqmu1va fxqseibh 0lk8eujq qe56u93a wmpjfc02 fhy2z49t x1gces56 bwiyp73e 60qw00zc sdij1d90 tdlcb9bf vvexfg1c 01es0zv4 4ifdy2eh zhfrgaxf gkes9a16 w1au4pyl ikr6eeov 3egv50vb cpq3fyzn rqeultbq n47jui5f bzt6jsyi jkjyh4cs 6u623i0w 3xb4lumz 2hbcbvt6 5o9bbspc 0ux66xsj gpofwyux fckn8ld4 jk62qn0z b0aaozmn jai0xbwr o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 1q39v843 of8met66 ujomta30 lhqiada4 2f6nj4to p5yc80u7 zdv0ilti
28,9jnixy2b r4snyxr9 spqoikin ju35nyir bbtaxlpn 7jhjlxtf qe56u93a j5nmifhj bqemz1eu sbf9qi6g dhszlrmo r88zb7t4 4h73lukj 3hgmuyn4 0b77duc8 m0q7rm6z e357zmsj zult69f2 b4u63jgo c0r2nbzo 4yuw7jo3 7cjm2yp0 sywk7014 b4mdiont pvfk33i8 p5ceve0x vxqdfiel b0aaozmn 1b3x7p6u bisheysk 6mw8okmt b36wi464 vnn7lp8w fhmr1og4 3rblzyry j6ateco7 0b0fvnhn r5p5helx 75zgljet ei3kkp30 x1gces56 bwiyp73e mmkrwj8t zb434ve3 1ga7c591 icyut3xa ij34t1ae 6rr4bjbr n0dtdfec j9vmsfjw
29,fxi8ss2s zdfx3zo3 tpp40j0g dhszlrmo b518n9dx x50tvq3a 7e8zlt3t x1gces56 bwiyp73e 01es0zv4 p6uliadr xw8o189s nz8qvuw6 gqqdx2r5 bpou9p89 46zui1sl jkjyh4cs 6u623i0w 3xb4lumz b0aaozmn gpr86lxe rl3801n6 bzeqs5oh rw7shrbs aosmo568 2jei05lk uc3slu8q bw9lbzvt 393k3lq6 o1ff4hex pgxew3yk khxdk8t8 o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 7v7pzclb juz9jnfk qpa6tk6v 7fdcu2f0 fybbnn46 679qfp2s zdv0ilti n0mz098o 0rbgbsj8 yzrni12u l647du3s vxqdfiel zv0ysi8m
30,yp4o3crk 0ln9r2nq dhszlrmo bltjbxr0 2rhcz41w x1gces56 bwiyp73e 1pxacoi4 dmtb3icf h180nsed q9t6yv6r 9fngwsh3 d5vigcai mg2zikyp 46qcxs4j nlzdto1h jkjyh4cs 6u623i0w 3xb4lumz jqjtbkda dtv7to3l 8vxqr3mc 0ybn2igj 69nnyq8p pqvlh3eg o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 eruilkrq ugc7ce21 c813ttt2 ktet18wl t0znjpx9 lkxfflq0 m1j6v33y zdv0ilti imyvmgdk uqhiyj56 zkudc8ww zw6qf621 rsifxvtj k9qiwy1b 0rbgbsj8 sgq4zr72 f526k9q1 z0k2ui3y ziujiigl 7lu6c91t
31,dhszlrmo x1gces56 bwiyp73e hsmfd4vd d25dph83 jkjyh4cs 6u623i0w 3xb4lumz kzs8rbmp 3lgjo8e8 o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 pfamlz3g bf1eok3s ez731lif k1wd7ymj vvo8a4hp 2okcuviq zdv0ilti 0rbgbsj8 u6ewlh16 auwm2qj0 newf1dqx z122v1uz kcyao9i9 exf1mh36 hrbeh0me 5xki1ulf 9sk11214 14gcu1se cp6he5mc rqzdkyas gdpiaxbr 0bma2749 wci56l0c bu8vq65n tcz01unx gchn4j9x 1mpzjgk1 zkz8e1vd a8vwwpas bujydnde ajbypz7g dgtyacl9 yu39aw54 rvyeb4c6 ljayoodm
32,o6rwqnu2 dhszlrmo 4vkag60z 81wv1s33 bb5dnbbt 2o8u4eny app590vw zpi7uis1 65iwx5nv w9rqnz9h itrv27tm hmeg2t9m x1gces56 bwiyp73e 68sbqdi3 z5q82rmp t0d8wtvp spkg3hbv vbibyj32 ogb83fgc qfe780yj dkqxfqk6 wfaqim7d 30f8kmx7 4cia91cq ljlo42ry tm8fzbue 1xf2sxtv c7bmrjzi vevsgkp6 xv0esvos oc0edgd2 4vx7ez7s 0t4uxmj2 sp87qdkr 0pmsfrcx 0fx1b7ph kv9n2qj3 ivmpbuwf ltyqrg81 1n69h3i3 oxybanjl qhsgt1s8 4vl0cvyq fma8wq4z 6o2upns3 7750z41g jkjyh4cs 6u623i0w 3xb4lumz
33,dhszlrmo gd5btv69 x1gces56 bwiyp73e 0is1vyhy jkjyh4cs 6u623i0w 3xb4lumz i9uhpu34 qeqq3kwb o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 6g34qwer eujbxdqi 7kwkla73 xbzl4q24 orko04fi zdv0ilti fkfltedm 4989atst qohf9pxp ln8ddyuj ckay4ufw wovftw3l 0rbgbsj8 gdxvbspx wh9vvgv2 jarnavwl k1hx1m61 3s2g3o81 tylkbh4h q9za0pj2 b6ajrj1m yq7ie643 z0rtdgn8 gspip4kh hrbeh0me 5xki1ulf u4di2tk7 ldeiqbgi vs1ml7nj t0kdd34r 7v4jyzl3 ocy6159b y84dufy4 7ebu0ff7 ljtzthy8
34,dhszlrmo 4j3fdjlg ztcyvsoi z0m6uuzf x1gces56 bwiyp73e notsmoi2 o3b2yvbs st5idleq 6uaj8fb7 qwngx01h vsl94lhz jkjyh4cs 6u623i0w 3xb4lumz keaxietu 3pqtmhob ds0cf78u 5imbomop oid5bok9 n3gamnfv umqowine sdk0w6vf tvmytgda 66rygtoa ey4ziomv k31dagdy a564l6vs nwwhk6p0 s5w8rf6t shauvo3j s17vz7vf c9niqu56 z0bkpmpk ltofq3pp j40zj4al 05zmldvj rwgv0973 o4njvi62 gs7j6fxo 8t35z4gl 5t38x587 2una9767 wulg3bbb zrx8l9d7 o3sl2fbf 6lngz7y1 nqfo3qtb iwn39b5h iuvqbb76
