topic-id,query,question,narrative
22,coronavirus heart impacts,are cardiac complications likely in patients with COVID-19?,"Seeking information on the types, frequency and mechanisms of cardiac complications caused by coronavirus."
23,coronavirus hypertension,what kinds of complications related to COVID-19 are associated with hypertension?,seeking specific outcomes that hypertensive  (any type) patients are more/less likely to face if infected with the virus
24,coronavirus diabetes,what kinds of complications related to COVID-19 are associated with diabetes,seeking specific outcomes that diabetic (any type) patients are more/less likely to face if infected with the virus
25,coronavirus biomarkers,which biomarkers predict the severe clinical course of 2019-nCOV infection?,"Looking for information on biomarkers that predict disease outcomes in people infected with coronavirus, specifically those that predict severe and fatal outcomes."
26,coronavirus early symptoms,what are the initial symptoms of Covid-19?,Studies of patients and the first clinical manifestations they develop upon active infection?
27,coronavirus asymptomatic,what is known about those infected with Covid-19 but are asymptomatic?,Studies of people who are known to be infected with Covid-19 but show no symptoms?
28,coronavirus hydroxychloroquine,what evidence is there for the value of hydroxychloroquine in treating Covid-19?,Basic science or clinical studies assessing the benefit and harms of treating Covid-19 with hydroxychloroquine.
29,coronavirus drug repurposing,which SARS-CoV-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?,"Seeking information about protein-protein interactions for any of the SARS-CoV-2  structural proteins that represent a promising therapeutic target,  and the drug  molecules that may inhibit the virus and the host cell receptors at entry step."
30,coronavirus remdesivir,is remdesivir an effective treatment for COVID-19,seeking specific information on clinical outcomes in COVID-19 patients treated with remdesivir
31,difference between coronavirus and flu,How does the coronavirus differ from seasonal flu?,"Includes studies ranging from those focusing on genomic differences to global public health impacts, but must draw direct comparisons between COVID-19 and seasonal influenza."
32,coronavirus subtypes,"Does SARS-CoV-2 have any subtypes, and if so what are they?","Papers that discuss subtypes of the virus, from named subtypes to speculative subtypes based on genomic or geographic clustering."
33,coronavirus vaccine candidates,What vaccine candidates are being tested for Covid-19?,"Seeking studies that discuss possible, but specific, COVID-19 vaccines. Includes articles from those describing the mechanisms of action of specific proposed vaccines to actual clinical trials, but excluding articles that do not name a specific vaccine candidate."
34,coronavirus recovery,What are the longer-term complications of those who recover from COVID-19?,Seeking information on the health outcomes for those that recover from the virus. Excludes studies only focusing on adverse effects related to a particular COVID-19 drug.
35,coronavirus public datasets,What new public datasets are available related to COVID-19?,"Seeking articles that specifically release new data related to SARS-CoV-2 or COVID-19, including genomic data, patient data, public health data, etc. Articles that reference previously existing datasets are not relevant."
36,SARS-CoV-2 spike structure,What is the protein structure of the SARS-CoV-2 spike?,"Looking for studies of the structure of the spike protein on the virus using any methods, such as cryo-EM or crystallography"
37,SARS-CoV-2 phylogenetic analysis,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,Looking for a range of studies which provide the results of phylogenetic network analysis on the SARS-CoV-2 genome
38,COVID inflammatory response,What is the mechanism of inflammatory response and pathogenesis of COVID-19 cases?,"Looking for a range of studies which describes the inflammatory response cells and pathogenesis during the Coronavirus Disease 2019 (COVID-19) outbreak, including the mechanism of anti-inflammatory drugs, corticosteroids, and vitamin supplements"
39,COVID-19 cytokine storm,What is the mechanism of cytokine storm syndrome on the COVID-19?,Looking for studies that describes mechanism of development of cytokine storm syndrome among COVID-19 cases and the range of drugs used for the therapy of cytokine storm
40,coronavirus mutations,What are the observed mutations in the SARS-CoV-2 genome and how often do the mutations occur?,"Looking for studies that describes the emergence of genomic diversity of the coronavirus due to recurrent mutations which explore the potential genomic site of the mutation, mechanisms and its potential or observed clinical implications in the pathogenicity of the virus"
